年	社会消费品零售总额	国内生产总值
1979	1800	4067.7
1980	2140	4551.6
1981	2350	4898.1
1982	2570	5333
1983	2849.4	5975.6
1984	3376.4	7226.3
1985	4305	9039.9
1986	4950	10308.8
1987	5820	12102.2
1988	7440	15101.1
1989	8101.4	17090.3
1990	8300.1	18774.3
1991	9415.6	21895.5
1992	10993.7	27068.3
1993	14270.4	35524.3
1994	18622.9	48459.6
1995	23613.8	61129.8
1996	28360.2	71572.3
1997	31252.9	79429.5
1998	33378.1	84883.7
1999	35647.9	90187.7
2000	39105.7	99776.3
2001	43055.4	110270.4
2002	48135.9	121002
2003	52516.3	136564.6
2004	59501	160714.4
2005	68352.6	185895.8
2006	79145.2	217656.6
2007	93571.6	268019.4
2008	114830.1	316751.7
2009	132678.4	345629.2
2010	156998.4	408903
2011	183918.6	484123.5
2012	210307	534123
2013	242842.8	588018.8
2014	271896.1	636138.7

